gid_0,bws_score,gtd_score,drr_score,sev_score,rfr_score,w_awr_def_tot_cat
AUS,1.6283981657831457,0.3902679999999999,0.516850837064435,1.944187135624321,1.62040706552,0.0
CHN,0.9726554706329786,1.691975,3.66335980753003,1.295343675600242,4.00117467118,2.0
USA,0.0,1.301487,2.23730569758623,0.6253807917979789,0.151740533405,0.0
AUS,5.0,1.226302,1.60265115899075,0.8545843837754947,0.0,3.0
CAN,0.0,0.79255,0.239044386874181,2.9159838014122355,0.0,0.0
CHN,5.0,1.0748445,2.7271901313769,3.78414457523645,0.0,4.0
MEX,4.482700854199914,1.2165925,2.67365778792898,2.441136634662364,1.08750751078,3.0
CHN,5.0,2.67158,3.54923732238932,3.524345628559713,2.00616801064,4.0
USA,5.0,1.0644485,1.59557829137292,0.5410858079824838,0.00604493819785,3.0
CHN,2.599096735691404,1.691975,3.49467683978549,2.162473930433072,4.02539644153,3.0
IRN,4.91360122609223,2.02826,2.7479952594592,2.2465950664658427,0.256105530908,4.0
PER,0.0,0.613958,1.89401577193687,1.7535526774311458,1.22607242617,1.0
PSE,0.467698000753701,2.203955,4.48572904385369,3.2863469512773205,3.38740717668,1.0
ZAF,5.0,1.03082595,2.42062570513701,1.1790835519780591,0.747157328686,4.0
MEX,5.0,1.1108185,1.99328017962432,1.8633276235821508,2.08723210772,4.0
DEU,2.348321271348696,1.236648,2.59834106435231,0.6177935424359065,0.696539656538,1.0
USA,5.0,2.09057,1.39649426786836,1.3188209349203186,0.653236631042,3.0
CHN,5.0,2.67158,3.31578168093126,3.001604515928704,4.02187310407,4.0
USA,5.0,1.319643,2.31244854414018,1.0843755459276248,0.202776914102,3.0
ARG,5.0,0.0,1.48101030477395,0.1673369921331441,2.35054014586,3.0
MEX,1.3029093243998693,1.430522,2.66563509352235,1.826638854630364,2.8278950844,2.0
USA,2.20805445018616,1.301487,1.81573672990382,0.3016250572803794,0.371947289692,1.0
ZAF,0.5592618060500882,1.096741,2.90247831860399,2.2540262000945748,0.633820468362,2.0
MEX,4.729885685663168,1.430522,2.7882463473439,1.7792143870590174,1.90689474922,3.0
PER,0.0,0.613958,0.589115962356093,1.3703032311415857,3.15566036514,1.0
TUR,0.0,1.073919,2.58079434100157,1.5438970636676006,0.0,1.0
BOL,0.0,0.9416316,1.53524526364312,0.770898382248456,3.70162983181,2.0
IND,5.0,2.821555,4.54571629736093,3.388951803478955,1.96379079738,4.0
CHN,2.987152981703737,1.0748445,2.67000171984767,1.1895668660500918,0.841403786631,3.0
TKM,2.517887898876563,1.39275,2.36295789097632,2.7579262552991457,3.54844006344,2.0
CHN,0.0,0.765594,2.13215649444359,2.447615273529026,1.6545937953,1.0
IND,5.0,1.829075,4.68369669561742,3.596810076010475,3.88354510403,4.0
USA,0.0,0.252047,2.70589272044246,0.9290350878627835,1.32068020584,0.0
USA,2.274077680800156,3.1492750000000003,2.22069444173157,3.003432298423544,4.02160679032,2.0
UZB,0.0,4.8586,4.03629708602996,2.419162385118656,2.38368447546,2.0
AUS,0.0,0.0,1.11261443116355,1.957011880594942,1.41647577288,0.0
MEX,5.0,1.4542665,2.73161988025657,2.7807454462973884,1.94553554978,4.0
YEM,5.0,1.02836635,3.09473149726859,1.029691751484826,1.88321026605,4.0
AUS,0.0,0.0,0.405822490839321,0.927375657900698,1.60540569789,0.0
RUS,0.0,1.073919,3.42452686087027,0.6759489070935009,2.02078537896,1.0
IRN,5.0,1.6043500000000002,2.7285624579778,1.816641564530787,0.0257325534326,4.0
CHN,5.0,1.53683,3.11791861657343,1.5982705150312566,1.23402556131,4.0
USA,5.0,1.806605,2.1284469187254,1.8358263469096563,0.602009912717,3.0
USA,0.0,1.301487,2.74796033582771,1.059924720452304,1.31653687398,0.0
UGA,0.0,1.4780975,3.11645682634697,0.5512697505960378,2.89587206221,2.0
CHL,5.0,0.596076,1.65770413583372,2.328119230362458,3.06179003693,4.0
USA,0.0,0.0,2.60726119900262,0.6050281673329356,3.06245730973,0.0
USA,5.0,1.3874875,2.11707713110947,1.6716532363718182,0.00659993157623,3.0
ZAF,5.0,0.99297565,1.96278921640407,1.1805935605586682,0.0,4.0
NLD,3.747638062082064,1.153746,2.69531312763172,1.3774207208636655,0.511722624991,1.0
IRN,0.0,1.39275,2.68675220576832,1.060997661295736,0.0,1.0
SOM,5.0,0.4065229999999999,2.63840762146437,1.5047328557096322,4.05126339131,4.0
NZL,0.0,1.0464457,0.974233797499535,0.7432782921393726,2.60561252982,0.0
MNG,0.0,1.280373,1.56954566563059,0.5329523401943748,3.70600059923,2.0
CHN,5.0,1.17797,2.78189864915053,0.8039593062588677,0.267240316348,4.0
CHN,4.906781848381977,2.67158,3.53851824305152,1.6052294195293229,2.25431542378,4.0
SAU,5.0,1.5219200000000002,2.78559720572278,1.577632592331747,1.81716189055,3.0
SOM,0.0,0.4065229999999999,2.24385356638808,1.0805858007215752,4.07792847673,2.0
MEX,4.84157626496398,1.1116985,2.14206580946136,1.9620057509814144,2.27293337611,4.0
RUS,1.8904006730059293,1.073919,2.87480083658955,1.5146999095984763,1.41962713464,2.0
DZA,0.0,1.5034,1.08880177140236,2.100850678951104,0.0,1.0
MEX,5.0,1.1108185,2.0313511099099,1.111294821950163,2.40582355057,4.0
CHN,2.104653969723179,1.057555,3.37544292919714,1.336825679744245,1.53916653366,2.0
AZE,2.793956708946053,1.073919,2.99328520559723,1.994560092035824,4.0018109127,3.0
USA,5.0,1.221162,1.75616228580934,3.396464927270745,0.121760313265,3.0
SOM,0.0,0.4065229999999999,1.97683278747714,1.0856231812796384,2.24687965841,2.0
USA,1.186976550266958,1.1116985,1.51570495660421,1.08688801200223,3.13063210024,1.0
IRN,5.0,1.39275,2.8248799704141,0.5113006025897335,0.0,4.0
GEO,1.6886614527888972,1.073919,2.76563770953114,1.5133997495878018,2.98210945759,2.0
USA,5.0,1.0644485,1.28734184248426,0.9513437485024114,0.126363409993,3.0
SYR,5.0,0.653654,3.2235419097817,0.4508202267438922,3.29059265583,4.0
ARG,5.0,0.0,1.44385563317807,0.1741563217026756,0.0,2.0
IRN,5.0,2.02826,2.79107023618723,0.6223693917139547,0.0,4.0
IRN,5.0,1.6043500000000002,2.51509482643272,1.3769225165182502,0.00181412504052,4.0
AUS,0.0,0.0,1.28516285306224,1.3476795671110855,2.67275403815,0.0
ARG,0.0,0.0450979999999999,1.38332318111774,0.9701693486469164,0.0,0.0
MEX,4.279826662239487,1.1108185,2.46601025681735,2.584866438254591,2.51614808739,3.0
MNG,0.0,1.280373,1.68410273832926,0.8590047720655241,4.0469241174,2.0
IND,5.0,5.0,4.24963315456707,3.3145056692678327,4.04043593345,4.0
PER,0.0,0.0,1.88184507250347,1.0897576070944297,1.75647797762,1.0
